SMILES;pLD50;MaxAbsEStateIndex;MaxEStateIndex;MinAbsEStateIndex;MinEStateIndex;qed;SPS;MolWt;HeavyAtomMolWt;ExactMolWt;NumValenceElectrons;NumRadicalElectrons;MaxPartialCharge;MinPartialCharge;MaxAbsPartialCharge;MinAbsPartialCharge;FpDensityMorgan1;FpDensityMorgan2;FpDensityMorgan3;BCUT2D_MWHI;BCUT2D_MWLOW;BCUT2D_CHGHI;BCUT2D_CHGLO;BCUT2D_LOGPHI;BCUT2D_LOGPLOW;BCUT2D_MRHI;BCUT2D_MRLOW;AvgIpc;BalabanJ;BertzCT;Chi0;Chi0n;Chi0v;Chi1;Chi1n;Chi1v;Chi2n;Chi2v;Chi3n;Chi3v;Chi4n;Chi4v;HallKierAlpha;Ipc;Kappa1;Kappa2;Kappa3;LabuteASA;PEOE_VSA1;PEOE_VSA10;PEOE_VSA11;PEOE_VSA12;PEOE_VSA13;PEOE_VSA14;PEOE_VSA2;PEOE_VSA3;PEOE_VSA4;PEOE_VSA5;PEOE_VSA6;PEOE_VSA7;PEOE_VSA8;PEOE_VSA9;SMR_VSA1;SMR_VSA10;SMR_VSA2;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA6;SMR_VSA7;SMR_VSA8;SMR_VSA9;SlogP_VSA1;SlogP_VSA10;SlogP_VSA11;SlogP_VSA12;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA8;SlogP_VSA9;TPSA;EState_VSA1;EState_VSA10;EState_VSA11;EState_VSA2;EState_VSA3;EState_VSA4;EState_VSA5;EState_VSA6;EState_VSA7;EState_VSA8;EState_VSA9;VSA_EState1;VSA_EState10;VSA_EState2;VSA_EState3;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState8;VSA_EState9;FractionCSP3;HeavyAtomCount;NHOHCount;NOCount;NumAliphaticCarbocycles;NumAliphaticHeterocycles;NumAliphaticRings;NumAmideBonds;NumAromaticCarbocycles;NumAromaticHeterocycles;NumAromaticRings;NumAtomStereoCenters;NumBridgeheadAtoms;NumHAcceptors;NumHDonors;NumHeteroatoms;NumHeterocycles;NumRotatableBonds;NumSaturatedCarbocycles;NumSaturatedHeterocycles;NumSaturatedRings;NumSpiroAtoms;NumUnspecifiedAtomStereoCenters;Phi;RingCount;MolLogP;MolMR;fr_Al_COO;fr_Al_OH;fr_Al_OH_noTert;fr_ArN;fr_Ar_COO;fr_Ar_N;fr_Ar_NH;fr_Ar_OH;fr_COO;fr_COO2;fr_C_O;fr_C_O_noCOO;fr_C_S;fr_HOCCN;fr_Imine;fr_NH0;fr_NH1;fr_NH2;fr_N_O;fr_Ndealkylation1;fr_Ndealkylation2;fr_Nhpyrrole;fr_SH;fr_aldehyde;fr_alkyl_carbamate;fr_alkyl_halide;fr_allylic_oxid;fr_amide;fr_amidine;fr_aniline;fr_aryl_methyl;fr_azide;fr_azo;fr_barbitur;fr_benzene;fr_benzodiazepine;fr_bicyclic;fr_diazo;fr_dihydropyridine;fr_epoxide;fr_ester;fr_ether;fr_furan;fr_guanido;fr_halogen;fr_hdrzine;fr_hdrzone;fr_imidazole;fr_imide;fr_isocyan;fr_isothiocyan;fr_ketone;fr_ketone_Topliss;fr_lactam;fr_lactone;fr_methoxy;fr_morpholine;fr_nitrile;fr_nitro;fr_nitro_arom;fr_nitro_arom_nonortho;fr_nitroso;fr_oxazole;fr_oxime;fr_para_hydroxylation;fr_phenol;fr_phenol_noOrthoHbond;fr_phos_acid;fr_phos_ester;fr_piperdine;fr_piperzine;fr_priamide;fr_prisulfonamd;fr_pyridine;fr_quatN;fr_sulfide;fr_sulfonamd;fr_sulfone;fr_term_acetylene;fr_tetrazole;fr_thiazole;fr_thiocyan;fr_thiophene;fr_unbrch_alkane;fr_urea
CC1(C)[C@@H](/C=C(\Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1;4,455931956;13,64509621;13,64509621;0,905788485;-5,749409216;0,469387702;36,67741935;449,856;430,704;449,1005558;162;0;0,426122298;-0,457370815;0,457370815;0,426122298;1,35483871;2,032258065;2,64516129;35,49570634;10,0863219;2,621342747;-2,133534975;2,60399413;-2,14399238;6,299408648;-0,149129521;3,497253847;2,356592818;1848,585806;39,28157438;33,68381636;15,4397453;22,30519554;17,25015647;8,128120943;5,527498764;5,905463237;3,431864623;3,740641456;2,0294851;2,123976218;-2,98;10487876510;8,513187653;8,637870733;5,202421424;209,0829306;9,473725908;22,60053133;0;6,080018027;0;12,14560381;4,794537184;0;18,4331367;0;61,56888941;35,47862299;16,52951994;20,9723018;53,4839208;17,57024518;5,261891555;0;17,20290584;25,96010078;0;71,02957796;0;17,56824498;4,736862954;13,17124514;11,49902367;11,60093989;12,14560381;9,531400138;28,53401871;51,39166632;65,46612647;0;0;0;59,32;131,6609135;23,22767388;0;0;0;6,069221313;0;0;0;4,736862954;42,38221541;202,8653539;5,148051484;13,64509621;7,326126394;-5,801302848;-13,64747531;-11,89769227;-9,72247334;-8,554573055;0;0,304347826;31;0;4;1;0;1;0;2;0;2;3;0;4;0;8;0;8;1;0;1;0;0;2,372123047;3;6,54398;108,156;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CCOP(=S)(OCC)SCSC(C)(C)C;2,397940009;8,122459373;8,122459373;0,641736111;-5,186635015;0,505229026;40,93333333;288,44;267,272;288,0441295;92;0;0,247628151;-0,321949084;0,321949084;0,247628151;1,333333333;1,933333333;2,4;32,92268617;10,25628066;2,201068589;-2,222202084;2,616539948;-2,068383351;8,690757295;0,28046864;2,435282577;6,911098191;750,901393;29,82842712;27,98845505;10,33237198;15,07842712;13,50091747;7,877146058;1,791780643;8,842524961;0,658724865;5,356669763;0,294482545;4,293510574;1,27;2477364,26;2,883835714;7,567971465;9,015632649;136,6783214;9,047494323;0;0;5,693537601;0;0;0;0;0;11,76188495;31,93740115;25,51064032;30,34538966;21,34252182;37,833424;40,64400343;0;0;0;39,00648304;18,15495935;0;0;0;0;0;0;28,83714735;22,90198181;20,85435041;0;63,04539027;0;0;0;0;18,46;85,99858974;0;0;0;0;0;0;0;0;9,047494323;40,59278577;163,3190965;3,379006047;0;-3,525425957;-5,186635015;0;0;0;-26,5971527;0;1;15;0;2;0;0;0;0;0;0;0;0;0;5;0;6;0;9;0;0;0;0;0;1,454985759;0;4,5063;77,339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC;2,119186408;12,01498814;9,5127982;5,050126301;-12,01498814;0,12731934;54,66666667;596,117;541,685;598,2218557;164;0;;;;;0,481481481;0,703703704;0,888888889;;;;;;;;;3,164983925;12,92516796;1848,92294;67,70710678;67,40824829;19,11645222;33,70710678;33,40824829;17,30091869;3,714434508;20,26301835;2,112372436;23,75406882;1,285825881;23,2811075;1,557402597;1,93547E+14;3,260382055;18,33622696;12,76087958;258,4483504;0;0;0;0;0;256,9339565;0;0;0;0;0;0;0;0;75,43228698;37,58214319;0;0;0;143,9195264;0;0;0;0;0;0;0;0;37,58214319;1,411324944;0;191,6074136;0;26,33307485;0;0;9,23;181,5016696;16,44910267;0;0;0;0;0;0;0;0;58,9831843;428,6606342;-24,02997628;0;0;0;0;0;-70,00990015;-30,30075781;0;1;27;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;26;0;0;0;0;0;2,214189086;0;9,6946;130,883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O=C(NC(=O)c1ccccc1Cl)Nc1ccc(OC(F)(F)F)cc1;1,677780705;12,5562504;12,5562504;0,483521825;-5,386803254;0,863694998;16,66666667;358,703;348,623;358,0332045;126;0;0,572596317;-0,405797347;0,572596317;0,405797347;1,125;1,75;2,375;35,49569187;10,18774442;2,304864719;-2,101573267;2,235038407;-2,339983533;6,33797215;-0,274190191;2,757233025;2,538232803;1155,658161;26,44471109;21,13102995;11,8869589;15,43402185;10,61127991;6,094817191;3,725849539;4,103814012;2,066892943;2,350366298;1,225101387;1,400426056;-2,74;9401613,17;8,385199816;7,221431242;5,165272204;153,0853282;10,04667631;5,749511833;2,823684157;0;5,907179729;12,39347337;10,10435054;4,794537184;0;13,17124514;23,68577731;36,25451225;5,687386275;21,55215325;41,28693507;29,22662041;0;5,309813353;0;6,362358859;5,309813353;58,92543447;0;5,749511833;15,35648966;23,6531686;5,749511833;11,60093989;18,3006531;0;0;21,32405713;48,33934966;7,84631747;0;0;67,43;99,28261238;22,76031951;0;0;0;0;0;0;0;4,736862954;25,3906925;117,4034727;5,749343565;25,03520157;-1,945049547;-2,251358901;-3,287501009;-11,12286067;-5,386803254;0;0;0,066666667;24;2;5;0;0;0;3;2;0;2;0;0;3;2;9;0;3;0;0;0;0;0;2,523047663;2;4,2005;81,0619;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;3;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CCOP(=S)(CC)Sc1ccccc1;1,552841969;7,95603899;7,95603899;0,061527778;-4,774435784;0,722425155;34,42857143;246,337;231,217;246,0301937;78;0;0,123405262;-0,341338248;0,341338248;0,123405262;1,571428571;2,357142857;3;32,91765563;10,37110631;2,153694733;-2,182641127;2,620372703;-1,877311232;8,689730211;0,385306778;2,522102968;3,77094334;815,9647038;23,37831518;21,67195847;9,19937882;12,60565981;10,67957765;7,321374877;1,848031879;8,166420737;0,991281643;5,158398906;0,528720748;3,349259625;0,18;414961,6014;2,892920348;5,915919136;3,738424133;116,1575565;4,523747162;5,466602804;0;0;0;0;0;0;0;0;48,16772913;18,93672953;28,53455047;9,595309893;25,0851255;28,65518369;0;0;0;18,59926771;12,67299855;30,21209354;0;0;0;0;0;16,8483276;12,67299855;16,33060325;0;34,26516258;35,10757701;0;0;0;9,23;66,9509626;0;0;11,3817248;0;0;0;0;0;0;36,89198159;118,3781388;4,953061224;-0,67240725;0;-4,774435784;0;-4,077685658;-3,47073708;-10,53037874;0;0,4;14;0;1;0;0;0;0;1;0;1;1;0;3;0;4;0;7;0;0;0;0;1;1,222448775;1;4,1446;68,751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C/C=C/C(=O)Oc1c(C(C)CCCCCC)cc([N+](=O)[O-])cc1[N+](=O)[O-];1,244887734;12,79658754;12,79658754;1,785670446;-5,116997118;0,14316426;31,84615385;364,398;340,206;364,1634365;142;0;0,335567052;-0,415664123;0,415664123;0,335567052;1,423076923;2,230769231;2,846153846;16,63663542;9,926521521;2,286899372;-2,155834586;2,405406369;-2,101234812;5,849280992;-0,39431137;2,884108965;4,74849154;1608,058337;40,55795974;36,34391693;12,34391693;21,67333261;18,03988277;6,039882775;3,805076862;3,805076862;2,271813673;2,271813673;1,376971742;1,376971742;-2,77;2575882325;5,146266163;10,27295729;5,944744088;185,4214162;4,736862954;0;0;5,749511833;5,687386275;11,65669156;20,22863654;4,794537184;0;0;45,24755559;19,1187747;45,07311307;21,37207503;52,27622758;17,34407784;0;0;0;58,31425854;0;49,98106894;0;5,749511833;4,736862954;11,37477255;5,749511833;0;15,81592739;4,794537184;20,22863654;96,77591538;24,18898091;0;0;0;112,58;121,0069027;25,02317372;0;0;0;0;0;0;0;4,736862954;32,89820535;193,0532582;0;33,11588458;23,9596241;-6,80349101;-9,788940386;-8,10529915;-24,2470731;-12,43396322;0;0,5;26;0;8;0;0;0;0;1;0;1;1;0;6;0;8;0;13;0;0;0;0;1;2,033360481;1;5,0584;97,3738;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl;1;10,53463593;10,53463593;0,102839506;-0,779012346;0,321157481;10,35714286;295,336;295,336;292,8371666;76;0;0,308987844;-0,258215125;0,308987844;0,258215125;0,785714286;1,071428571;1,357142857;35,50256868;10,29089904;2,265261975;-2,045628718;2,470286859;-1,922786321;6,556971965;-0,384140931;2,11206606;3,682463306;390,1682702;11,04145188;6,153532541;9,933177272;6,374785218;3,033666352;4,923488717;2,175627765;4,06545013;1,369205744;3,626004921;0,753609428;2,020022128;0,07;971,5503878;12,14107321;4,289049481;1,877230867;103,60071;0;10,04526663;0;0;0;5,687386275;10,11431827;0;0;0;58,00469945;0;0;19,99121099;4,923311049;63,69208573;0;0;0;0;0;35,22748484;0;0;0;5,687386275;0;58,00469945;4,923311049;0;10,11431827;0;0;25,11316657;0;0;43,14;10,61069732;10,11431827;0;25,11316657;0;0;0;0;0;0;58,00469945;0;27,9341232;9,755623583;9,41420383;-0,548395062;0;0;0;0;0;0;14;0;3;0;0;0;0;1;0;1;0;0;2;0;8;0;1;0;0;0;0;0;3,719547409;1;4,8618;58,1464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CNC(=O)Oc1cccc2c1OC(C)(C)C2;0,744727495;12,01716624;12,01716624;0,623589616;-3,681529904;0,789737865;35,375;221,256;206,136;221,1051933;86;0;0,411971662;-0,483302334;0,483302334;0,411971662;1,8125;2,6875;3,4375;16,57269496;10,0177473;2,321295758;-2,173616876;2,411353517;-2,251604943;5,711549454;0,132713289;2,824511928;2,845407525;902,0217363;24,53301572;22,67195847;7,671958467;13,62573321;11,41504792;3,967834322;2,796269572;2,796269572;1,633667445;1,633667445;1,099609016;1,099609016;-1,71;1496765,361;2,750955999;3,700750186;1,957374255;115,6863135;14,78353926;5,601050811;12,91086574;0;0;6,093240071;0;4,794537184;0;0;12,08483742;19,74620294;33,99054741;4,112275669;34,87072496;6,093240071;0;5,309813353;0;25,67775995;6,9758269;23,69070761;0;11,49902367;14,78353926;4,794537184;11,49902367;0;18,67011778;6,372924901;0;38,45785551;18,12725612;1,411842078;0;0;47,56;79,24637155;4,794537184;0;0;0;0;0;0;0;4,736862954;25,33932482;123,8926351;0;12,01716624;-0,623589616;-4,688918769;-2,321952003;-3,274283864;-5,400104049;-10,68428642;0;0,416666667;16;1;4;0;1;1;1;1;0;1;0;0;3;1;4;1;4;0;0;0;0;0;0,636287558;2;2,1183;59,9367;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)OCC1CCCO1;0,638272164;13,19511066;13,19511066;0,390033258;-4,279060072;0,509884747;36,5;428,872;407,704;428,1138995;156;0;0,346622148;-0,479029208;0,479029208;0,346622148;1,433333333;2,266666667;3,033333333;35,4956919;10,24137481;2,21066834;-2,157307016;2,247095507;-2,286423702;6,307255072;-0,153817;3,103840422;1,76757453;1947,382008;39,40289472;35,31363312;15,06956206;22,82571105;18,17052673;8,048491208;4,993085088;5,371049561;3,003757181;3,192739418;1,80715946;1,943908291;-2,9;19262227378;7,069822419;9,277346099;5,170335968;207,9465133;18,94745182;18,05800891;6,080018027;5,879988336;0;5,969305288;0;14,76249423;0;0;11,60093989;61,89467287;21,17692845;42,47693446;52,52791868;28,60364661;0;9,967957042;0;31,75777797;13,11797049;53,49245948;0;17,379012;9,473725908;0;17,379012;11,60093989;41,21526887;14,26826309;0;48,3836716;48,46982616;5,022633314;11,03340144;0;79,77;132,7499267;4,794537184;0;0;0;0;0;0;0;19,44168295;49,86059548;186,3834643;5,856739068;20,77217226;-0,467550415;-0,85904131;-5,941038461;-6,944614767;-16,89490461;-12,04411496;0;0,318181818;30;0;7;0;1;1;0;2;1;3;2;0;7;0;8;2;8;0;1;1;0;2;2,186306315;4;4,565;111,087;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CN1CSC(=S)N(C)C1;0,522878745;7,695625;7,695625;0,111273148;-3,16712963;0,485762833;53,33333333;162,283;152,203;162,0285403;52;0;0,137921028;-0,347531845;0,347531845;0,137921028;1,888888889;2,777777778;3,444444444;32,18113795;10,75528929;2,133826754;-2,306749834;2,140101124;-2,395674009;8,224391099;0,277956174;1,879518021;3,413310683;386,3617004;15,43915759;14,21092377;5,843916934;8,115860957;6,954013222;3,178758094;1,230077078;2,648590447;0,606815038;1,670445115;0,291570651;0,786515351;0,2;3527,855325;1,678081597;2,85600645;1,809044995;79,24445095;4,899909731;4,320534086;0;0;0;0;4,899909731;0;0;0;23,97975839;6,9758269;15,20037824;17,93272036;13,70758556;28,30029248;0;9,799819462;0;0;26,40133994;0;0;0;0;0;0;23,97975839;40,52169348;0;0;13,70758556;0;0;0;0;6,48;30,72187402;0;0;21,56170441;0;0;0;0;0;12,21787344;13,70758556;73,28235025;4,859941421;0,007476852;0;0;-2,686921296;0;0;-9,296180556;0;0,8;9;0;2;0;1;1;0;0;0;0;0;0;3;0;4;1;2;0;1;1;0;0;0,532512429;1;0,7967;45,449;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
